Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-9(4),Previous Logon Notification | Additional Logon Information,CCI-002249,Defines the additional information to be included in the notification to the user upon successful logon.,,,,,
AC-9(4),Previous Logon Notification | Additional Logon Information,CCI-002250,"Notify the user, upon successful logon, of the following additional information: organization-defined additional information.",,,,,
AC-10,Concurrent Session Control,CCI-000054,Limit the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number.,,,,,
AC-10,Concurrent Session Control,CCI-000055,Defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,,,,,
AC-10,Concurrent Session Control,CCI-002252,Defines the accounts and/or account types for which will limit the number of concurrent sessions.,,,,,
AC-11,Device Lock,CCI-000056,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,,,,,
AC-11,Device Lock,CCI-000057,Prevent further access to the system by initiating a device lock after organization-defined time period of inactivity; and/or requiring the user to initiate a device lock before leaving the system unattended.,,,,,
AC-11,Device Lock,CCI-000059,Defines the time-period of inactivity after which the system initiates a device lock.,,,,,
AC-11(1),Device Lock | Pattern-hiding Displays,CCI-000060,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",,,,,
AC-12,Session Termination,CCI-002360,Defines the conditions or trigger events requiring session disconnect when automatically terminating a user session.,,,,,
AC-12,Session Termination,CCI-002361,Automatically terminate a user session after organization-defined conditions or trigger events requiring session disconnect.,,,,,
AC-12(1),Session Termination | User-initiated Logouts,CCI-002362,Defines the information resources requiring authentication in order to gain access.,,,,,
AC-12(1),Session Termination | User-initiated Logouts,CCI-002363,Provide a logout capability for user-initiated communications sessions whenever authentication is used to gain access to organization-defined information resources.,,,,,
AC-12(2),Session Termination | Termination Message,CCI-002364,Display an explicit logout message to users indicating the reliable termination of authenticated communications sessions.,,,,,
AC-12(3),Session Termination | Timeout Warning Message,CCI-003693,Display an explicit message to users indicating that the session will end at an organization-defined time until end of session.,,,,,
AC-12(3),Session Termination | Timeout Warning Message,CCI-003694,"Defines the time until end of session, indicating the session will end.",,,,,
AC-13,Supervision and Review ' Access Control,N/A,No CCIs mapped,,,,,
AC-14,Permitted Actions Without Identification or Authentication,CCI-000061,Identify organization-defined user actions that can be performed on the system without identification or authentication consistent with organizational missions/business functions.,,,,,
